name,int,band,wavelength,resolution,sensor,spacecraft,exp
Band 1 - Blue,1,blue,0.45-0.52,30,TM,LS4-5,LANDSAT_4|LANDSAT_5
Band 2 - Green,2,green,0.52-0.60,30,TM,LS4-5,LANDSAT_4|LANDSAT_5
Band 3 - Red,3,red,0.63-0.69,30,TM,LS4-5,LANDSAT_4|LANDSAT_5
Band 4 - Near Infrared (NIR),4,nir,0.76-0.90,30,TM,LS4-5,LANDSAT_4|LANDSAT_5
Band 5  - Shortwave Infrared (SWIR) 1,5,swir1,1.55-1.75,30,TM,LS4-5,LANDSAT_4|LANDSAT_5
Band 6 - Thermal,6,tir,10.40-12.50,120* (30),TM,LS4-5,LANDSAT_4|LANDSAT_5
Band 7 - Shortwave Infrared (SWIR) 2,7,swir2,2.08-2.35,30,TM,LS4-5,LANDSAT_4|LANDSAT_5
Band 4 - Green,4,green,0.5-0.6,60*,MSS,LS1-3,LANDSAT_1|LANDSAT_2|LANDSAT_3
Band 5 - Red,5,red,0.6-0.7,60*,MSS,LS1-3,LANDSAT_1|LANDSAT_2|LANDSAT_3
Band 6 - Near Infrared (NIR),6,nir,0.7-0.8,60*,MSS,LS1-3,LANDSAT_1|LANDSAT_2|LANDSAT_3
Band 7 - Near Infrared (NIR),7,nir,0.8-1.1,60*,MSS,LS1-3,LANDSAT_1|LANDSAT_2|LANDSAT_3
Band 1 - Green,1,green,0.5-0.6,60*,MSS,LS4-5,LANDSAT_4|LANDSAT_5
Band 2 - Red,2,red,0.6-0.7,60*,MSS,LS4-5,LANDSAT_4|LANDSAT_5
Band 3 - Near Infrared (NIR),3,nir,0.7-0.8,60*,MSS,LS4-5,LANDSAT_4|LANDSAT_5
Band 4 - Near Infrared (NIR),4,nir,0.8-1.1,60*,MSS,LS4-5,LANDSAT_4|LANDSAT_5
Band 1 - Blue,1,blue,0.45-0.52,30,ETM,LS7,LANDSAT_7
Band 2 - Green,2,green,0.52-0.60,30,ETM,LS7,LANDSAT_7
Band 3 - Red,3,red,0.63-0.69,30,ETM,LS7,LANDSAT_7
Band 4 - Near Infrared (NIR),4,nir,0.77-0.90,30,ETM,LS7,LANDSAT_7
Band 5 - Shortwave Infrared (SWIR) 1,5,swir1,1.55-1.75,30,ETM,LS7,LANDSAT_7
Band 6 - Thermal,6,tir,10.40-12.50,60 * (30),ETM,LS7,LANDSAT_7
Band 7 - Shortwave Infrared (SWIR) 2,7,swir2,2.09-2.35,30,ETM,LS7,LANDSAT_7
Band 8 - Panchromatic,8,pan,.52-.90,15,ETM,LS7,LANDSAT_7
Band 1 - Ultra Blue (coastal/aerosol),1,ublue,0.435 - 0.451,30,OLI_TIRS,LS8,LANDSAT_8
Band 2 - Blue,2,blue,0.452 - 0.512,30,OLI_TIRS,LS8,LANDSAT_8
Band 3 - Green,3,green,0.533 - 0.590,30,OLI_TIRS,LS8,LANDSAT_8
Band 4 - Red,4,red,0.636 - 0.673,30,OLI_TIRS,LS8,LANDSAT_8
Band 5 - Near Infrared (NIR),5,nir,0.851 - 0.879,30,OLI_TIRS,LS8,LANDSAT_8
Band 6 - Shortwave Infrared (SWIR) 1,6,swir1,1.566 - 1.651,30,OLI_TIRS,LS8,LANDSAT_8
Band 7 - Shortwave Infrared (SWIR) 2,7,swir2,2.107 - 2.294,30,OLI_TIRS,LS8,LANDSAT_8
Band 8 - Panchromatic,8,pan,0.503 - 0.676,15,OLI_TIRS,LS8,LANDSAT_8
Band 9 - Cirrus,9,cir,1.363 - 1.384,30,OLI_TIRS,LS8,LANDSAT_8
Band 10 - Thermal Infrared (TIRS) 1,10,tirs,10.60 - 11.19,100 * (30),OLI_TIRS,LS8,LANDSAT_8
Band 11 - Thermal Infrared (TIRS) 2,11,tirs,11.50 - 12.51,100 * (30),OLI_TIRS,LS8,LANDSAT_8
Band 1 – Red,1,red,0.62-0.67,500,MODIS,Terra,MODIS_TERRA
Band 2 – Near Infrared (NIR),2,nir,0.841-0.876,500,MODIS,Terra,MODIS_TERRA
Band 3 – Blue,3,blue,0.459-0.479,500,MODIS,Terra,MODIS_TERRA
Band 4 – Green,4,green,0.545-0.565,500,MODIS,Terra,MODIS_TERRA
Band 5 – Shortwave Infrared (SWIR) ,5,swir1,1.230-1250,500,MODIS,Terra,MODIS_TERRA
Band 6 – Shortwave Infrared (SWIR) ,6,swir2,1.628-1.652,500,MODIS,Terra,MODIS_TERRA
Band 7 – Shortwave Infrared (SWIR) ,7,swir3,2.105-2.155,500,MODIS,Terra,MODIS_TERRA
